Indeks;Emne;Modul;Tema;Spørsmål;Riktig svar;Nesten riktig;Litt riktig;Feil svar
151;TEK1210;M5;Enkle mekanismer;Hva gjør en sperremekanisme (ratchet)?;Tillater trinnvis bevegelse og hindrer tilbakerotasjon;Tillater bevegelse én vei og sperrer motsatt vei;Hindrer uønsket tilbakerotasjon;Tillater fri rotasjon begge veier
152;TEK1210;M5;Enkle mekanismer;Hva brukes et genevahjul til?;Å omforme kontinuerlig rotasjon til trinnvis rotasjon;Å skape periodisk trinnvis bevegelse;Å stoppe og starte rotasjon;Å gi kontinuerlig høyere hastighet
153;TEK1210;M5;Enkle mekanismer;Hva kjennetegner en stegvis mekanisme?;Utgangen beveger seg i adskilte trinn;Bevegelse og stopp veksler;Bevegelsen skjer trinnvis;Utgangen beveger seg kontinuerlig
154;TEK1210;M5;Enkle mekanismer;Hva brukes tannhjul til?;Å overføre rotasjon og dreiemoment mellom aksler;Å overføre rotasjon med bestemt utveksling;Å overføre dreiemoment;Bare til å endre rotasjonsretning
155;TEK1210;M5;Enkle mekanismer;Hva bestemmer utvekslingen mellom to tannhjul?;Forholdet mellom tannhjulenes tanntall;Forholdet mellom antall tenner;Størrelsesforholdet mellom hjulene;Tannhjulenes materiale
156;TEK1210;M5;Enkle mekanismer;Hva er en fordel med kjededrift?;Positiv kraftoverføring uten sluring;Den gir fast utveksling uten sluring;Den overfører kraft mellom aksler;Kjedet kan alltid slure ved overbelastning
157;TEK1210;M5;Enkle mekanismer;Hva er en fordel med remdrift?;Enkel og støtdempende kraftoverføring over avstand;Den kan overføre kraft mellom aksler med stor avstand;Den gir fleksibel kraftoverføring;Den kan aldri slure
158;TEK1210;M5;Enkle mekanismer;Hva gjør en skrue som mekanisme?;Omformer rotasjon til lineær bevegelse og kraft;Omformer rotasjon til lineær bevegelse;Flytter en mutter eller skrue aksialt;Omformer lineær bevegelse til fri rotasjon
159;TEK1210;M5;Enkle mekanismer;Hvordan kan en skrue forsterke kraft?;Liten stigning gir stor mekanisk utveksling;Liten stigning reduserer nødvendig drivkraft;Rotasjon fordeles over lang bevegelsesvei;Stor stigning gir alltid størst kraftforsterkning
160;TEK1210;M5;Enkle mekanismer;Hva er hovedhensikten med en enkel mekanisme?;Å overføre eller omforme kraft og bevegelse;Å endre kraft, retning eller bevegelse;Å gjøre en ønsket bevegelse mulig;Å produsere energi
161;TEK1210;M6;Festemidler;Hva er hovedoppgaven til et festemiddel?;Å forbinde to eller flere deler;Å holde deler sammen;Å lage en mekanisk forbindelse;Å redusere materialets styrke
162;TEK1210;M6;Festemidler;Hva er en fordel med bolteforbindelser?;De kan demonteres uten å ødelegges;De kan demonteres og monteres igjen;De gir en løsbar forbindelse;De er alltid permanente
163;TEK1210;M6;Festemidler;Hva er hovedoppgaven til en mutter?;Å skape klemkraft sammen med bolten;Å stramme en bolteforbindelse;Å holde bolten på plass;Å hindre korrosjon
164;TEK1210;M6;Festemidler;Hva er hovedoppgaven til en skive under en bolt eller mutter?;Å fordele kontakttrykket over et større areal;Å fordele klemkraften mot underlaget;Å beskytte kontaktflaten;Å øke boltens diameter
165;TEK1210;M6;Festemidler;Hvorfor forspennes en bolteforbindelse?;For å skape klemkraft mellom delene;For å holde delene fast sammen;For å stramme forbindelsen;For å gjøre bolten lengre
166;TEK1210;M6;Festemidler;Hva kan føre til at en skrueforbindelse løsner?;Vibrasjon og varierende belastning;Vibrasjon og dynamiske krefter;Bevegelse i forbindelsen;Høy friksjon i gjengene
167;TEK1210;M6;Festemidler;Hva er hensikten med gjengelåsing?;Å hindre uønsket rotasjon og løsning;Å hindre at skruen løsner;Å sikre gjengeforbindelsen;Å redusere skruens styrke
168;TEK1210;M6;Festemidler;Hvordan virker kjemisk gjengelåsing?;Et lim herder mellom gjengeflatene;Låsemiddel binder gjengene sammen;Væske påføres gjengene;Gjengene smeltes sammen
169;TEK1210;M6;Festemidler;Hva gjør en låsemutter?;Motvirker at mutteren roterer løs;Øker motstanden mot løsning;Sikrer mutteren mot vibrasjon;Gjør forbindelsen permanent sveiset
170;TEK1210;M6;Festemidler;Hva er en treskrue tilpasset for?;Å danne eller gripe gjenger i tre;Å feste komponenter direkte i tre;Å gripe i trefibrene;Å lage maskingjenger i stål
171;TEK1210;M6;Festemidler;Hvorfor forbores tre ofte før skruing?;For å redusere sprekkfare og styre skruen;For å unngå at treet sprekker;For å gjøre innskruingen lettere;For å gjøre skruen tykkere
172;TEK1210;M6;Festemidler;Hva er en treplugg?;En plugg som posisjonerer og forbinder tredeler;En trestav som forbinder deler;Et forbindelseselement i tre;En metallskrue for tre
173;TEK1210;M6;Festemidler;Hvorfor brukes lim sammen med treplugger?;Limet overfører last og låser forbindelsen;Limet styrker forbindelsen;Limet holder pluggen fast;Limet gjør trepluggen fleksibel
174;TEK1210;M6;Festemidler;Hva er en dovetail-forbindelse?;En formtilpasset mekanisk låsing mellom deler;En geometrisk forbindelse som hindrer uttrekking;En mekanisk låsegeometri;En kjemisk limforbindelse
175;TEK1210;M6;Festemidler;Hvordan holder en spiker deler sammen?;Friksjon og mekanisk inngrep mot materialet;Friksjon mellom spiker og materiale;Spikeren griper i materialet;Ved hjelp av maskingjenger
176;TEK1210;M6;Festemidler;Hva er en blindnagle?;En nagle som monteres fra én side;En nagle for ensidig tilgang;En nagle som trekkes fast fra forsiden;En nagle som krever tilgang fra begge sider
177;TEK1210;M6;Festemidler;Når er blindnagler spesielt nyttige?;Når bare én side av forbindelsen er tilgjengelig;Når baksiden ikke kan nås;Ved montering i lukkede profiler;Når begge sider må bearbeides samtidig
178;TEK1210;M6;Festemidler;Hva er en klinknaglet forbindelse?;En permanent forbindelse der naglen deformeres ved montering;En nagle som formes for å låse delene;En permanent mekanisk forbindelse;En forbindelse som skrus fra hverandre
179;TEK1210;M6;Festemidler;Er en klinknaglet forbindelse normalt demonterbar?;Nei, naglen må vanligvis ødelegges;Nei, naglen må bores eller fjernes;Den er normalt permanent;Ja, den skrus enkelt løs
180;TEK1210;M6;Festemidler;Hva er en klipsforbindelse?;En forbindelse som låses ved elastisk deformasjon;En elastisk del som klikker på plass;En rask mekanisk låsing;En sveiset forbindelse
181;TEK1210;M6;Festemidler;Hva er en fordel med klips i serieproduksjon?;Rask montering med få eller ingen verktøy;De kan monteres raskt;De forenkler monteringen;De krever alltid bolter
182;TEK1210;M6;Festemidler;Hva er Torx?;Et sekstakket drivsystem for skruer;Et drivsystem med stjerneformet profil;En skrueprofil for momentoverføring;En type gjenge
183;TEK1210;M6;Festemidler;Hva er en fordel med Torx sammenlignet med vanlig spor?;God momentoverføring med liten fare for utslipp;Bitsen får godt inngrep i skruen;Det tåler relativt høyt moment;Det er konstruert for å gli ut lett
184;TEK1210;M6;Festemidler;Hva er en fordel med limforbindelser?;Last kan fordeles over et stort areal;Lim kan fordele belastningen jevnt;Store flater kan forbindes;Belastningen samles alltid i ett punkt
185;TEK1210;M6;Festemidler;Hva må vurderes før materialer limes?;Materialtype, overflate, last og miljø;Overflatebehandling og limtype;Om limet passer materialene;Bare limets farge
186;TEK1210;M6;Festemidler;Hvorfor er direkte skruegjenger i plast ofte problematiske?;Plast kan krype og redusere klemkraften over tid;Plast kan sige slik at forbindelsen løsner;Plast deformeres over tid;Plast er alltid hardere enn skruen
187;TEK1210;M6;Festemidler;Hva betyr kryp eller siging i plast?;Tidsavhengig deformasjon under vedvarende belastning;Plast deformeres gradvis under last;Langsom permanent deformasjon;Plast deformeres bare ved slag
188;TEK1210;M6;Festemidler;Hva kan brukes i plast i stedet for gjenger direkte i plasten?;En metallinnsats med gjenger;En gjenget metallhylse;En innsats som tar opp gjengekreftene;En større skrue direkte i plasten
189;TEK1210;M6;Festemidler;Hvorfor brukes en metallhylse eller gjengeinnsats i plast?;Den gir slitesterke gjenger og bedre lastoverføring;Den reduserer belastningen på plastgjengene;Den gir en sterkere skrueforbindelse;Den gjør plasten mykere
190;TEK1210;M6;Festemidler;Hva er viktig ved valg av festemetode?;Materiale, belastning, miljø, montering og demontering;Materiale og forventet belastning;Hvordan forbindelsen skal brukes;Bare festemiddelets pris
192;;;;;;;;
193;;;;;;;;
194;;;;;;;;
195;;;;;;;;
196;;;;;;;;
197;;;;;;;;
198;;;;;;;;
199;;;;;;;;
200;;;;;;;;
201;;;;;;;;
202;;;;;;;;
203;;;;;;;;
204;;;;;;;;
205;;;;;;;;
206;;;;;;;;
207;;;;;;;;
208;;;;;;;;
209;;;;;;;;
210;;;;;;;;
211;;;;;;;;
212;;;;;;;;
213;;;;;;;;
214;;;;;;;;
215;;;;;;;;
216;;;;;;;;
217;;;;;;;;
218;;;;;;;;
219;;;;;;;;
220;;;;;;;;
221;;;;;;;;
222;;;;;;;;
223;;;;;;;;
224;;;;;;;;
225;;;;;;;;
226;;;;;;;;
227;;;;;;;;
228;;;;;;;;
229;;;;;;;;
230;;;;;;;;
231;;;;;;;;
232;;;;;;;;
233;;;;;;;;
234;;;;;;;;
235;;;;;;;;
236;;;;;;;;
237;;;;;;;;
238;;;;;;;;
239;;;;;;;;
240;;;;;;;;
241;;;;;;;;
242;;;;;;;;
243;;;;;;;;
244;;;;;;;;
245;;;;;;;;
246;;;;;;;;
247;;;;;;;;
248;;;;;;;;
249;;;;;;;;
250;;;;;;;;
251;;;;;;;;
252;;;;;;;;
253;;;;;;;;
254;;;;;;;;
255;;;;;;;;
256;;;;;;;;
257;;;;;;;;
258;;;;;;;;
259;;;;;;;;
260;;;;;;;;
261;;;;;;;;
262;;;;;;;;
263;;;;;;;;
264;;;;;;;;
265;;;;;;;;
266;;;;;;;;
267;;;;;;;;
268;;;;;;;;
269;;;;;;;;
270;;;;;;;;
271;;;;;;;;
272;;;;;;;;
273;;;;;;;;
274;;;;;;;;
275;;;;;;;;
276;;;;;;;;
277;;;;;;;;
278;;;;;;;;
279;;;;;;;;
280;;;;;;;;
281;;;;;;;;
282;;;;;;;;
283;;;;;;;;
284;;;;;;;;
285;;;;;;;;
286;;;;;;;;
287;;;;;;;;
288;;;;;;;;
289;;;;;;;;
290;;;;;;;;
291;;;;;;;;
292;;;;;;;;
293;;;;;;;;
294;;;;;;;;
295;;;;;;;;
296;;;;;;;;
297;;;;;;;;
298;;;;;;;;
299;;;;;;;;
300;;;;;;;;
301;;;;;;;;
302;;;;;;;;
303;;;;;;;;
304;;;;;;;;
305;;;;;;;;
306;;;;;;;;
307;;;;;;;;
308;;;;;;;;
309;;;;;;;;
310;;;;;;;;
311;;;;;;;;
312;;;;;;;;
313;;;;;;;;
314;;;;;;;;
315;;;;;;;;
316;;;;;;;;
317;;;;;;;;
318;;;;;;;;
319;;;;;;;;
320;;;;;;;;
321;;;;;;;;
322;;;;;;;;
323;;;;;;;;
324;;;;;;;;
325;;;;;;;;
326;;;;;;;;
327;;;;;;;;
328;;;;;;;;
329;;;;;;;;
330;;;;;;;;
331;;;;;;;;
332;;;;;;;;
333;;;;;;;;
334;;;;;;;;
335;;;;;;;;
336;;;;;;;;
337;;;;;;;;
